Away Team,Away Spread,Home Spread,Home Team,Game Date,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP RUN,OPP RECV,OPP PBLK,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV
LAC,24.0,27.0,KC,WEEK2,93.2,85.5,90.0,79.3,83.1,73.6,72.5,79.3,63.6,52.9,75.3,89.8,76.3,72.3,75.7,77.2,76.3,67.0,45.7,62.8,36.5,45.7,68.2,86.7
WAS,27.0,36.0,DET,WEEK2,81.0,79.0,71.7,84.2,80.9,63.4,68.8,60.4,55.5,62.8,71.2,48.8,77.0,67.6,53.4,77.2,75.1,61.7,55.6,73.8,60.1,68.0,71.9,83.1
IND,0.0,24.0,JAX,WEEK2,80.6,71.8,73.8,89.4,70.5,72.8,47.0,71.8,70.3,35.7,76.5,62.2,74.1,65.5,58.0,71.9,66.5,62.9,62.0,71.3,69.2,68.8,62.5,76.2
TB,20.0,10.0,NO,WEEK2,82.3,73.9,80.9,83.1,75.8,61.7,53.0,71.7,65.6,47.4,67.0,78.1,77.0,71.8,75.8,63.8,72.3,75.0,53.9,67.6,57.8,53.0,64.3,80.7
CAR,16.0,19.0,NYG,WEEK2,68.6,69.8,65.7,90.0,68.4,62.0,60.9,54.5,41.7,71.7,68.8,53.3,72.9,67.7,58.3,83.6,67.8,72.8,56.0,65.6,68.7,47.8,68.2,54.2
NE,17.0,14.0,PIT,WEEK2,79.7,74.5,75.7,85.6,72.8,69.5,58.0,71.1,70.3,74.4,67.6,68.3,81.2,72.0,71.2,81.5,71.6,72.5,56.7,75.8,71.7,87.1,73.5,75.0
SEA,7.0,27.0,SF,WEEK2,93.1,82.4,73.6,82.6,88.0,74.4,66.9,84.8,74.4,90.0,76.4,91.5,80.8,75.9,74.1,90.0,77.7,64.2,57.8,64.7,62.0,45.0,65.1,63.5
CIN,17.0,20.0,DAL,WEEK2,85.4,75.2,64.9,88.0,75.8,69.6,63.0,75.1,60.7,83.2,84.5,79.2,88.6,80.2,91.1,87.4,80.5,56.1,56.1,75.8,65.6,81.0,70.8,84.3
CHI,10.0,27.0,GB,WEEK2,81.4,76.3,76.9,91.5,70.3,77.6,55.9,67.4,53.1,57.6,71.5,77.7,62.8,69.2,50.9,85.9,62.1,68.2,73.1,47.3,34.9,49.2,52.2,60.8
TEN,7.0,41.0,BUF,WEEK2,86.6,78.8,84.1,91.8,77.7,64.1,50.7,72.1,54.4,40.8,78.8,80.1,79.9,69.5,64.7,90.3,69.5,52.4,62.3,75.4,82.0,55.4,71.8,70.1
MIN,7.0,24.0,PHI,WEEK2,93.7,85.0,80.7,85.9,80.4,84.9,76.5,85.9,67.9,55.9,90.1,89.2,92.5,81.6,77.3,79.4,82.0,66.6,74.5,81.1,85.4,85.5,75.2,71.3
